[    0.00] [  OK  ] LOW_MEM mode disabled
[    0.00] [ DEBUG] Hell debug
[    0.00] [  OK  ] Loading package managment...
[    0.05] [  OK  ] Mounting system drive
[    0.10] [  OK  ] Mounting table: 0x7f4e8013f480 to /
[    0.10] [  OK  ] Initializing registry
[    0.20] [  OK  ] Registry: Mounted /PlotOS/system32/registry/system.reg to system
[    0.20] [ DEBUG] Registry: trying to lock /PlotOS/system32/registry/system.reg r
[    0.20] [ DEBUG] Registry: locking /PlotOS/system32/registry/system.reg r
[    0.20] [  OK  ] Registry: reading /PlotOS/system32/registry/system.reg
[    0.20] [  OK  ] Opening file at /PlotOS/system32/registry/system.reg with mode rb
[    0.25] [  OK  ] Registry: Mounted /PlotOS/system32/registry/user_root.reg to user_root
[    0.25] [ DEBUG] Registry: trying to lock /PlotOS/system32/registry/user_root.reg r
[    0.25] [ DEBUG] Registry: locking /PlotOS/system32/registry/user_root.reg r
[    0.25] [  OK  ] Registry: reading /PlotOS/system32/registry/user_root.reg
[    0.25] [  OK  ] Opening file at /PlotOS/system32/registry/user_root.reg with mode rb
[    0.25] [ DEBUG] registry.get("system/registry/use_tmp_files_to_save, nil") called
[    0.25] [  OK  ] Registry use tmp files to save enabled
[    0.25] [ DEBUG] registry.get("system/low_mem, nil") called
[    0.25] [  OK  ] Loading drivers...
[    0.35] [FAILED] Error loading file /lib/process.lua
[    0.35] [FAILED] Error: /lib/process.lua:2: attempt to call a nil value (global 'require')
[    0.35] [FAILED] stack traceback:
[    0.35] [FAILED]     [C]: in function 'xpcall'
[    0.35] [FAILED]     machine:823: in upvalue 'errorCapture'
[    0.35] [FAILED]     machine:827: in global 'require'
[    0.35] [FAILED]     /lib/process.lua:2: in main chunk
[    0.35] [FAILED]     [C]: in function 'xpcall'
[    0.35] [FAILED]     machine:823: in local 'errorCapture'
[    0.40] [FAILED]     machine:833: in global 'xpcall'
[    0.40] [FAILED]     /PlotOS/bootInit.lua:241: in global 'raw_dofile'
[    0.40] [FAILED]     /lib/package.lua:11: in field 'require'
[    0.40] [FAILED]     /lib/ipc.lua:1: in main chunk
[    0.40] [FAILED]     ...
[    0.40] [FAILED]     machine:823: in local 'errorCapture'
[    0.40] [FAILED]     machine:833: in global 'xpcall'
[    0.40] [FAILED]     /PlotOS/bootInit.lua:241: in global 'raw_dofile'
[    0.40] [FAILED]     /lib/package.lua:11: in field 'require'
[    0.40] [FAILED]     /PlotOS/bootInit.lua:447: in function </PlotOS/bootInit.lua:393>
[    0.40] [FAILED]     [C]: in function 'xpcall'
[    0.40] [FAILED]     machine:823: in local 'errorCapture'
[    0.40] [FAILED]     machine:833: in global 'xpcall'
[    0.40] [FAILED]     /PlotOS/bootInit.lua:507: in local 'res'
[    0.40] [FAILED]     /PlotOS/boot.lua:8: in main chunk
[    0.40] [FAILED]     init:15: in main chunk
[    0.40] [FAILED]     (...tail calls...)
[    0.40] [FAILED] Error loading file /lib/ipc.lua
[    0.40] [FAILED] Error: /PlotOS/bootInit.lua:249: /lib/process.lua:2: attempt to call a nil value (global 'require')
[    0.40] [FAILED] stack traceback:
[    0.40] [FAILED]     [C]: in function 'xpcall'
[    0.40] [FAILED]     machine:823: in upvalue 'errorCapture'
[    0.40] [FAILED]     machine:827: in global 'require'
[    0.40] [FAILED]     /lib/process.lua:2: in main chunk
[    0.40] [FAILED]     [C]: in function 'xpcall'
[    0.40] [FAILED]     machine:823: in local 'errorCapture'
[    0.40] [FAILED]     machine:833: in global 'xpcall'
[    0.40] [FAILED]     /PlotOS/bootInit.lua:241: in global 'raw_dofile'
[    0.40] [FAILED]     /lib/package.lua:11: in field 'require'
[    0.40] [FAILED]     /lib/ipc.lua:1: in main chunk
[    0.40] [FAILED]     ...
[    0.40] [FAILED]     machine:823: in local 'errorCapture'
[    0.40] [FAILED]     machine:833: in global 'xpcall'
[    0.40] [FAILED]     /PlotOS/bootInit.lua:241: in global 'raw_dofile'
[    0.40] [FAILED]     /lib/package.lua:11: in field 'require'
[    0.40] [FAILED]     /PlotOS/bootInit.lua:447: in function </PlotOS/bootInit.lua:393>
[    0.40] [FAILED]     [C]: in function 'xpcall'
[    0.40] [FAILED]     machine:823: in local 'errorCapture'
[    0.40] [FAILED]     machine:833: in global 'xpcall'
[    0.40] [FAILED]     /PlotOS/bootInit.lua:507: in local 'res'
[    0.40] [FAILED]     /PlotOS/boot.lua:8: in main chunk
[    0.40] [FAILED]     init:15: in main chunk
[    0.40] [FAILED]     (...tail calls...) is the error
[    0.40] [FAILED] stack traceback:
[    0.40] [FAILED]     [C]: in function 'xpcall'
[    0.40] [FAILED]     machine:823: in upvalue 'errorCapture'
[    0.45] [FAILED]     machine:827: in function <machine:823>
[    0.45] [FAILED]     [C]: in function 'error'
[    0.45] [FAILED]     /PlotOS/bootInit.lua:249: in global 'raw_dofile'
[    0.45] [FAILED]     /lib/package.lua:11: in field 'require'
[    0.45] [FAILED]     /lib/ipc.lua:1: in main chunk
[    0.45] [FAILED]     [C]: in function 'xpcall'
[    0.45] [FAILED]     machine:823: in local 'errorCapture'
[    0.45] [FAILED]     machine:833: in global 'xpcall'
[    0.45] [FAILED]     ...
[    0.45] [FAILED]     machine:823: in local 'errorCapture'
